type,en,es,pt
annual,Cover crop - Mix of grass and legumes,Cultivo de cobertura - Mezcla de gramíneas y leguminosas,Cultura de cobertura - Mistura de gramíneas e leguminosas
annual,Cover crop - Multi-species cover crop,Cultivo de cobertura - Cultivo de cobertura multiespecie,Cultura de cobertura - Cultura de cobertura multi-espécies
annual,Cover crop - Other,Cultivo de cobertura - Otros,Cultura de cobertura - Outra
annual,Forage - Grass-Clover Mixtures,Forraje - Mezcla de gramíneas y trébol,Forragem - Misturas de gramíneas e trevos
annual,Forage - Italian Ryegrass,Forraje - Ballico italiano,Forragem - Azevém italiano
annual,Forage - N-fixing forages,Forraje - Forrajes fijadores de N,Forragem - Forragens fixadoras de N
annual,Forage - Non-N-fixing forages,Forraje - Forrajes no fijadores de N,Forragem - Forragens não fixadoras de N
annual,Forage - Non-legume hay,Forraje - Heno no leguminoso,Forragem - Feno não leguminoso
annual,Forage - Sudangrass,Forraje - Pasto sudán,Forragem - Erva-do-sudão
annual,Forage - Other,Forraje - Otros,Forragem - Outras
annual,Grains/Cereals - Barley,Granos/Cereales - Cebada,Grãos/Cereais - Cevada
annual,Grains/Cereals - Maize,Granos/Cereales - Maíz,Grãos/cereais - Milho
annual,Grains/Cereals - Millet,Granos/Cereales - Mijo,Grãos/cereais - Milho painço
annual,Grains/Cereals - Oats,Granos/Cereales - Avena,Grãos/Cereais - Aveia
annual,Grains/Cereals - Rice,Granos/Cereales - Arroz,Grãos/Cereais - Arroz
annual,Grains/Cereals - Rye,Granos/Cereales - Centeno,Grãos/Cereais - Centeio
annual,Grains/Cereals - Sorghum,Granos/Cereales - Sorgo,Grãos/Cereais - Sorgo
annual,Grains/Cereals - Spring Wheat,Granos/Cereales - Trigo de primavera,Grãos/Cereais - Trigo de primavera
annual,Grains/Cereals - Triticale,Granos/Cereales - Triticale,Grãos/Cereais - Triticale
annual,Grains/Cereals - Wheat,Granos/Cereales - Trigo,Grãos/Cereais - Trigo
annual,Grains/Cereals - Winter Wheat,Granos/Cereales - Trigo de invierno,Grãos/Cereais - Trigo de inverno
annual,Grains/Cereals - Other,Granos/Cereales - Otros,Grãos/cereais - Outros
annual,Legumes - Alfalfa,Leguminosas - Alfalfa,Leguminosas - Alfafa
annual,Legumes - Beans,Leguminosas - Judías,Leguminosas - Feijão
annual,Legumes - Cowpea,Leguminosas - Caupí,Leguminosas - Feijão-frade
annual,Legumes - Lupins,Leguminosas - Altramuces,Leguminosas - Tremoços
annual,Legumes - Peas,Leguminosas - Guisantes,Leguminosas - Ervilhas
annual,Legumes - Soybeans,Leguminosas - Soja,Leguminosas - Soja
annual,Legumes - Vetch,Leguminosas - Arveja,Leguminosas - Ervilhaca
annual,Legumes - Other,Leguminosas - Otras,Leguminosas - Outras
annual,Roots/Tubers - Potatoes,Raíces/Tubérculos - Patatas,Raízes/Tubérculos - Batatas
annual,Roots/Tubers - Beets,Raíces/Tubérculos - Remolacha,Raízes/Tubérculos - Beterrabas
annual,Roots/Tubers - Other,Raíces/Tubérculos - Otros,Raízes/Tubérculos - Outros
annual,Fruits and Vegetables - Squash,Frutas y verduras - Calabaza,Frutas e produtos hortícolas - Abóbora
annual,Fruits and Vegetables - Other fruit,Frutas y verduras - Otras frutas,Frutas e produtos hortícolas - Outros frutos
annual,Fruits and Vegetables - Other vegetable,Frutas y hortalizas - Otras hortalizas,Frutas e produtos hortícolas - Outros produtos hortícolas
annual,Oilseeds - Peanuts,Semillas oleaginosas - Cacahuetes,Sementes oleaginosas - Amendoim
annual,Oilseeds - Rapeseed,Semillas oleaginosas - Colza,Sementes oleaginosas - Colza
annual,Oilseeds - Sunflower,Semillas oleaginosas - Girasol,Sementes oleaginosas - Girassol
annual,Oilseeds - Other,Semillas oleaginosas - Otras,Sementes oleaginosas - Outras
annual,Other annual crop,Otros cultivos anuales,Outras culturas anuais
landuse,pasture,pastos,pastagem
landuse,fallow,barbecho,pousio
landuse,bare soil,suelo desnudo,solo nu
perennial,Bushes/Shrubs - Lentisk/Mastic,arbustos - lentisco/masilla,arbustos - lentisco/mastique
